題庫包,原CSV檔,原CSV列號,題目,正確答案原值,正確答案文字,提醒
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,2,大發到臺北市旅遊，旅程中他的朋友正在查看一張地圖（如下），想知道如何從臺北車站到大安森林公園站，他們看的是下列哪一種地圖呢？,1,交通路線圖,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,4,我們無法從交通路線圖中獲得什麼資訊？,2,車站周邊景點,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,5,從臺中市行政區域圖中可以看到左側的藍色區域，請問這代表什麼意思呢？,3,海洋,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,8,透過交通觀光導覽圖中豐富的內容，我們可以了解什麼資訊？,4,以上皆可。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,18,小紅試著自製一張家鄉行政區域圖，你會建議她不用將下列哪一項資訊放進地圖中？,3,人口比例,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,21,觀察交通觀光導覽圖的圖例時，無法得知下列哪一個資訊？,3,觀光區未來的發展計畫,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,27,下列哪一項是無法從日月潭國家風景區的交通觀光導覽圖中獲得的資訊？,2,日月潭中行駛的船隻數量,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,30,下列哪一項不是行政區域圖中會有的資訊內容或特色？,1,具有定位和導航功能,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,36,當阿凱到快樂鎮旅遊時，發現當地的交通觀光導覽圖中幾乎都是海鮮餐廳及魚酥觀光工廠，請問快樂鎮比較有可能位在哪一個地區？,4,海港。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,38,關於日月潭交通觀光導覽圖中的資訊，下列哪一項敘述是錯誤的？,4,當地的特產是日月潭中的水蛙。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
