題庫包,原CSV檔,原CSV列號,題目,正確答案原值,選項一,選項二,選項三,選項四,選項五,問題
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,34,小莉在遊客眾多的日月潭國家風景區附近與家人走散了，請問她應該前往地圖上什麼地標的符號，尋求協助呢？,2,,,,。,,選項缺失或不足四個有效選項
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,44,阿傑利用假日與家人到深坑老街遊玩，如果他想要找到廁所，應該在地圖上尋找什麼符號？,4,,,,。,,選項缺失或不足四個有效選項
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,46,如果倩倩想要在家鄉的地圖上標示出學校的位置，應該使用下列哪一個符號？,2,,,,。,,選項缺失或不足四個有效選項
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,7,一天中，太陽在天空中移動的軌跡，呈現什麼形狀？,1,,,,,,選項缺失或不足四個有效選項
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,11,農曆 10 月 15 日的月相是,2,,,,。,,選項缺失或不足四個有效選項
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,19,小寶在農曆 11 月 7 日到庭院觀賞月亮，請問這天的月相應該是什麼？,1,,,,。,,選項缺失或不足四個有效選項
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,21,每年的兒童節當天，面對南方會看到哪種月相？,4,,,,無法判斷。,,選項缺失或不足四個有效選項
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,34,每年的端午節當天，面對南方會看到哪種月相？,2,,,,不一定。,,選項缺失或不足四個有效選項
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,37,端午節晚上面對南方觀測月亮，看到的月相比較可能是,1,,,,。,,選項缺失或不足四個有效選項
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,42,阿信從桃園國際機場坐飛機到美國，出發前阿信看到的月相是滿月。13 小時後抵達美國，阿信下飛機後當天晚上看到的月相最可能是哪一個？,1,,,,。,,選項缺失或不足四個有效選項
